Player,Age,Avg./Year
Ja'Marr Chase,25,40250000
Justin Jefferson,26,35000000
CeeDee Lamb,26,34000000
D.K. Metcalf,28,32999882
Garrett Wilson,25,32500000
A.J. Brown,28,32000000
Amon-Ra St. Brown,26,30002500
Tyreek Hill,31,30000000
Brandon Aiyuk,27,30000000
Terry McLaurin,30,29000000
Tee Higgins,26,28750000
Jaylen Waddle,27,28250000
D.J. Moore,28,27500000
Jameson Williams,24,26666667
DeVonta Smith,27,25000000
Nico Collins,26,24250000
Deebo Samuel,29,23850000
"Michael Pittman, Jr.",28,23333333
Courtland Sutton,30,23000000
Calvin Ridley,31,23000000
Davante Adams,33,22000000
Chris Godwin,29,22000000
Stefon Diggs,32,21166667
Mike Evans,32,20500000
Christian Kirk,29,18000000
Jerry Jeudy,26,17500000
Cooper Kupp,32,15000000
Khalil Shakir,25,13250000
Darnell Mooney,28,13000000
Rashod Bateman,26,12250000
Darius Slayton,28,12000000
Travis Hunter,22,11662278
Jakobi Meyers,29,11000000
Christian Watson,26,11000000
Josh Palmer,26,10000000
Dyami Brown,26,10000000
Tutu Atwell,26,10000000
Marvin Harrison Jr.,23,8843686
Curtis Samuel,29,8000000
Malik Nabers,22,7301938
Marquise Brown,28,7000000
Tetairoa McMillan,22,6982598
Jauan Jennings,28,5945000
Rome Odunze,23,5681125
Drake London,24,5383618
DeAndre Hopkins,33,5000000
Adam Thielen,35,5000000
Chris Olave,25,4817968
Emeka Egbuka,23,4543183
Kavontae Turpin,29,4500000
Matthew Golden,22,4393835
Mack Hollins,32,4200000
Demarcus Robinson,31,4000000
Kalif Raymond,31,4000000
Jahan Dotson,25,3762089
Brian Thomas Jr.,23,3664995
Jaxon Smith-Njigba,23,3604327
Quentin Johnston,24,3547197
Zay Flowers,25,3509110
Xavier Worthy,22,3447566
Jordan Addison,23,3432934
Greg Dortch,27,3263000
Ashton Dulin,28,3250000
Noah Brown,29,3250000
Ricky Pearsall,25,3134600
Rashid Shaheed,27,3092500
Xavier Legette,24,3089294
Keenan Allen,33,3020000
Nick Westbrook-Ikhine,28,2995000
Jayden Higgins,23,2925206
KhaDarel Hodge,30,2750000
Josh Reynolds,30,2750000
Luther Burden,22,2741009
Keon Coleman,22,2518565
Jamal Agnew,30,2500000
Allen Lazard,30,2500000
Justin Watson,29,2500000
Tim Patrick,32,2500000
Ladd McConkey,24,2498797
Ja'Lynn Polk,24,2423686
Zay Jones,30,2400000
Bennett Skowronek,28,2237500
Jonathan Mingo,24,2214152
Tylan Wallace,26,2100000
Wan'Dale Robinson,24,2046292
John Metchie III,25,2017544
Hunter Renfrow,30,2000000
Rondale Moore,25,2000000
Tre Harris,23,1954423
Jack Bech,23,1889706
Adonai Mitchell,23,1846522
Braxton Berrios,30,1800000
Jayden Reed,25,1795195
Kendrick Bourne,30,1765000
George Pickens,24,1688047
Kyle Williams,23,1675893
Van Jefferson,29,1670000
Isaac TeSlaa,23,1666113
Alec Pierce,25,1650336
Pat Bryant,23,1645270
