Player,Age,Avg./Year
Ja'Marr Chase,25,"$40,250,000"
Justin Jefferson,26,"$35,000,000"
CeeDee Lamb,26,"$34,000,000"
D.K. Metcalf,28,"$32,999,882"
Garrett Wilson,25,"$32,500,000"
A.J. Brown,28,"$32,000,000"
Amon-Ra St. Brown,26,"$30,002,500"
Tyreek Hill,31,"$30,000,000"
Brandon Aiyuk,27,"$30,000,000"
Terry McLaurin,30,"$29,000,000"
Tee Higgins,26,"$28,750,000"
Jaylen Waddle,27,"$28,250,000"
D.J. Moore,28,"$27,500,000"
Jameson Williams,24,"$26,666,667"
DeVonta Smith,27,"$25,000,000"
Nico Collins,26,"$24,250,000"
Deebo Samuel,29,"$23,850,000"
"Michael Pittman, Jr.",28,"$23,333,333"
Courtland Sutton,30,"$23,000,000"
Calvin Ridley,31,"$23,000,000"
Davante Adams,33,"$22,000,000"
Chris Godwin,29,"$22,000,000"
Stefon Diggs,32,"$21,166,667"
Mike Evans,32,"$20,500,000"
Christian Kirk,29,"$18,000,000"
Jerry Jeudy,26,"$17,500,000"
Cooper Kupp,32,"$15,000,000"
Khalil Shakir,25,"$13,250,000"
Darnell Mooney,28,"$13,000,000"
Rashod Bateman,26,"$12,250,000"
Darius Slayton,28,"$12,000,000"
Travis Hunter,22,"$11,662,278"
Jakobi Meyers,29,"$11,000,000"
Christian Watson,26,"$11,000,000"
Josh Palmer,26,"$10,000,000"
Dyami Brown,26,"$10,000,000"
Tutu Atwell,26,"$10,000,000"
Marvin Harrison Jr.,23,"$8,843,686"
Curtis Samuel,29,"$8,000,000"
Malik Nabers,22,"$7,301,938"
Marquise Brown,28,"$7,000,000"
Tetairoa McMillan,22,"$6,982,598"
Jauan Jennings,28,"$5,945,000"
Rome Odunze,23,"$5,681,125"
Drake London,24,"$5,383,618"
DeAndre Hopkins,33,"$5,000,000"
Adam Thielen,35,"$5,000,000"
Chris Olave,25,"$4,817,968"
Emeka Egbuka,23,"$4,543,183"
Kavontae Turpin,29,"$4,500,000"
Matthew Golden,22,"$4,393,835"
Mack Hollins,32,"$4,200,000"
Demarcus Robinson,31,"$4,000,000"
Kalif Raymond,31,"$4,000,000"
Jahan Dotson,25,"$3,762,089"
Brian Thomas Jr.,23,"$3,664,995"
Jaxon Smith-Njigba,23,"$3,604,327"
Quentin Johnston,24,"$3,547,197"
Zay Flowers,25,"$3,509,110"
Xavier Worthy,22,"$3,447,566"
Jordan Addison,23,"$3,432,934"
Greg Dortch,27,"$3,263,000"
Ashton Dulin,28,"$3,250,000"
Noah Brown,29,"$3,250,000"
Ricky Pearsall,25,"$3,134,600"
Rashid Shaheed,27,"$3,092,500"
Xavier Legette,24,"$3,089,294"
Keenan Allen,33,"$3,020,000"
Nick Westbrook-Ikhine,28,"$2,995,000"
Jayden Higgins,23,"$2,925,206"
KhaDarel Hodge,30,"$2,750,000"
Josh Reynolds,30,"$2,750,000"
Luther Burden,22,"$2,741,009"
Keon Coleman,22,"$2,518,565"
Jamal Agnew,30,"$2,500,000"
Allen Lazard,30,"$2,500,000"
Justin Watson,29,"$2,500,000"
Tim Patrick,32,"$2,500,000"
Ladd McConkey,24,"$2,498,797"
Ja'Lynn Polk,24,"$2,423,686"
Zay Jones,30,"$2,400,000"
Bennett Skowronek,28,"$2,237,500"
Jonathan Mingo,24,"$2,214,152"
Tylan Wallace,26,"$2,100,000"
Wan'Dale Robinson,24,"$2,046,292"
John Metchie III,25,"$2,017,544"
Hunter Renfrow,30,"$2,000,000"
Rondale Moore,25,"$2,000,000"
Tre Harris,23,"$1,954,423"
Jack Bech,23,"$1,889,706"
Adonai Mitchell,23,"$1,846,522"
Braxton Berrios,30,"$1,800,000"
Jayden Reed,25,"$1,795,195"
Kendrick Bourne,30,"$1,765,000"
George Pickens,24,"$1,688,047"
Kyle Williams,23,"$1,675,893"
Van Jefferson,29,"$1,670,000"
Isaac TeSlaa,23,"$1,666,113"
Alec Pierce,25,"$1,650,336"
Pat Bryant,23,"$1,645,270"
