Players: ,,TGT,Cash
Ja'Marr Chase CIN,,139,"$40,721,667"
Trey McBride ARI,,127,"22,354,000"
Jaxon Smith-Njigba SEA,,121,"2,060,664"
Chris Olave NO,,120,"3,332,982"
Puka Nacua LAR,,118,"1,030,000"
Amon-Ra St. Brown DET,,117,"17,410,000"
George Pickens DAL,,114,"3,656,000"
Wan'Dale Robinson NYG,,110,"1,821,159"
Emeka Egbuka TB,,110,"10,696,532"
Justin Jefferson MIN,,109,"31,930,000"
Christian McCaffrey SF,,107,"16,200,000"
Davante Adams LAR,,105,"20,000,000"
Nico Collins HOU,,103,"14,125,005"
Tetairoa McMillan CAR,,98,"17,793,012"
Zay Flowers BAL,,95,"2,026,040"
Michael Pittman Jr. IND,,94,"18,000,000"
Drake London ATL,,94,"3,641,520"
Michael Wilson ARI,,94,"1,235,406"
Keenan Allen LAC,,91,"3,020,000"
Courtland Sutton DEN,,90,"22,500,000"
Jake Ferguson DAL,,90,"13,406,000"
Rome Odunze CHI,,90,"1,827,932"
Ladd McConkey LAC,,90,"1,249,327"
CeeDee Lamb DAL,,89,"27,850,000"
Troy Franklin DEN,,88,"975,000"
